customer_id,gender,senior_citizen,partner,dependents,count,country,state,city,zip_code,lat_long,latitude,longitude,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,contract,tenure_in_months,monthly_charges_amount,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason
3790-SGTW,Male,Yes,Yes,Yes,1,United States,California,Youngshire,23556,"-86.4914275, -172.332750",47.72703,161.181186,No,No phone service,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,No,Bank transfer,Month-to-month,48,53.83,2583.84,Yes,1,91,5943,Price too high
0695-FAHQ,Female,Yes,Yes,Yes,1,United States,California,Daisystad,56938,"-49.7836535, -125.833556",-60.285466,110.076146,No,No,DSL,Yes,Yes,No,No,No internet service,No,No,Credit card,Month-to-month,17,40.04,680.68,No,0,72,5649,
4050-SPGJ,Female,Yes,Yes,Yes,1,United States,California,Andersonmouth,65288,"5.1757035, -59.255491",-65.2605975,-59.776759,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Credit card,Two year,28,116.51,3262.28,No,0,86,2573,
4414-MCQU,Female,Yes,No,No,1,United States,California,Thomasville,55041,"-63.8907235, -79.649438",46.4718705,-101.405091,Yes,Yes,No,Yes,Yes,No internet service,No,No internet service,No internet service,No,Electronic check,Month-to-month,35,55.99,1959.65,Yes,1,76,6126,
3738-YYGM,Male,No,Yes,No,1,United States,California,Perezside,7536,"-55.156428, -45.678399",54.9349975,-64.899538,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,No,Mailed check,Month-to-month,36,76.04,2737.44,No,0,3,7751,
1140-QXML,Female,No,No,Yes,1,United States,California,Kevinville,35413,"-64.6211035, 111.669616",88.681412,4.898006,No,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,No,Electronic check,Month-to-month,29,108.87,3157.23,No,0,45,7845,
0239-MTKJ,Female,Yes,Yes,No,1,United States,California,East Julie,85506,"-50.6092855, 6.539742",20.5314505,91.045014,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Yes,Credit card,Two year,26,103.38,2687.88,Yes,1,64,6678,
6457-VUCK,Female,No,No,Yes,1,United States,California,Amandaview,47489,"-57.803038, -158.682272",-70.5156135,-2.524596,No,Yes,DSL,Yes,No,No,No,No internet service,Yes,Yes,Mailed check,One year,27,47.0,1269.0,Yes,1,87,2615,Competitor made better offer
8841-CPVW,Female,No,No,Yes,1,United States,California,West Victor,53254,"-21.8067455, -14.890134",73.480021,-28.440801,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,No,Electronic check,Two year,16,54.61,873.76,Yes,1,19,2874,Moved
4303-DNMQ,Female,Yes,Yes,No,1,United States,California,Andersonchester,3032,"38.6298545, 162.388268",-42.1043305,-158.180666,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Electronic check,One year,5,32.71,163.55,No,0,68,2108,
3678-GFZY,Male,Yes,Yes,Yes,1,United States,California,South Tinachester,29925,"13.7761805, 118.985053",70.7174435,-144.852903,No,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,No,Electronic check,One year,30,54.28,1628.4,No,0,87,6085,
2058-UMAA,Female,Yes,No,No,1,United States,California,South Jessicamouth,43449,"41.764391, 52.792934",-65.6313375,77.386324,No,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,No,Credit card,One year,61,83.8,5111.8,No,0,40,6391,
0487-YJDK,Female,No,No,Yes,1,United States,California,West Tina,44790,"23.2517165, 135.532182",-22.315257,-160.59357,Yes,No,No,No,No,No internet service,Yes,No,No,Yes,Electronic check,Two year,0,22.28,0.0,Yes,1,45,2693,
6425-BDEG,Female,Yes,No,No,1,United States,California,Port April,13723,"23.2173765, -47.256708",-76.946456,96.857311,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No,No,Credit card,Two year,9,51.74,465.66,No,0,39,6867,
9626-LMAK,Female,Yes,Yes,Yes,1,United States,California,Mcclainmouth,14620,"32.445724, 100.040430",-9.2795675,90.386604,No,No phone service,No,No,No,No,No,Yes,No internet service,Yes,Electronic check,One year,6,105.69,634.14,No,0,29,3447,
0458-GYZW,Male,Yes,No,No,1,United States,California,North Crystal,11517,"-27.967920, -8.305844",-57.2466965,-21.09441,No,Yes,Fiber optic,Yes,No internet service,No,Yes,Yes,No internet service,No,Mailed check,Two year,33,107.42,3544.86,No,0,7,4958,
8808-YUNU,Male,Yes,No,Yes,1,United States,California,Ramirezmouth,27631,"-73.1902805, -118.908830",-60.1874015,-13.777143,No,Yes,No,Yes,Yes,No internet service,No internet service,No,No internet service,Yes,Electronic check,One year,72,92.76,6678.72,No,0,56,3243,
9548-FSHS,Male,Yes,Yes,No,1,United States,California,Lake Jeffreystad,93278,"-2.062214, -39.804807",66.834502,3.520692,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,Yes,No,Mailed check,Two year,4,93.08,372.32,Yes,1,22,2155,Competitor made better offer
1362-TOZM,Female,No,No,No,1,United States,California,Carolynville,64220,"-31.3238055, 15.222579",51.7763225,-40.017495,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Yes,Electronic check,Month-to-month,22,20.58,452.76,No,0,22,5501,
0161-NYNP,Female,Yes,Yes,Yes,1,United States,California,Bradleyland,91455,"-1.373728, 88.123196",-77.9886645,55.674351,No,No phone service,No,No internet service,No,Yes,No internet service,No internet service,No,Yes,Credit card,One year,16,67.38,1078.08,Yes,1,19,4903,Moved
