customer_id,gender,senior_citizen,partner,dependents,count,country,state,city,zip_code,lat_long,latitude,longitude,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,contract,tenure_in_months,monthly_charges_amount,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason
3668-QPYBK,Male,No,No,No,1,United States,California,Los Angeles,90003,33.964131& -118.272783,33.964131,-118.272783,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,Mailed check,Month-to-month,2,53.85,108.15,Yes,1,86,3239,Competitor made better offer
0004-TLHLJ,Male,No,No,No,1,United States,California,Costa Mesa,92627,33.645672& -117.922613,33.645672,-117.922613,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Electronic check,Month-to-month,4,73.9,280.85,Yes,1,71,4479,Price too high
0011-IGKFF,Male,Yes,Yes,No,1,United States,California,Martinez,94553,38.014457& -122.115432,38.014457,-122.115432,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,Month-to-month,13,98.0,1237.85,Yes,1,99,3714,Product dissatisfaction
0013-EXCHZ,Female,Yes,Yes,No,1,United States,California,Camarillo,93010,34.227846& -119.079903,34.227846,-119.079903,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Yes,Mailed check,Month-to-month,3,83.9,267.4,Yes,1,68,3464,Network reliability
0018-NYROU,Female,No,Yes,No,1,United States,California,Antelope,95843,38.715498& -121.363411,38.715498,-121.363411,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,Month-to-month,5,68.95,351.5,No,0,57,5536,
4190-MFLUW,Female,No,Yes,No,1,United States,California,Los Angeles,90020,34.066367& -118.309868,34.066367,-118.309868,Yes,No,DSL,No,No,Yes,Yes,No,No,No,Credit card (automatic),Month-to-month,10,55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds
8779-QRDMV,Male,Yes,No,No,1,United States,California,Los Angeles,90022,34.02381& -118.156582,34.02381,-118.156582,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes,Electronic check,Month-to-month,1,39.65,39.65,Yes,1,100,5433,Competitor offered more data
1066-JKSGK,Male,No,No,No,1,United States,California,Los Angeles,90024,34.066303& -118.435479,34.066303,-118.435479,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,Month-to-month,1,20.15,20.15,Yes,1,92,4832,Competitor made better offer
0021-IKXGC,Female,Yes,No,No,1,United States,California,San Marcos,92078,33.119028& -117.166036,33.119028,-117.166036,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,Month-to-month,1,72.1,72.1,No,0,50,4432,
8665-UTDHZ,Male,No,Yes,No,1,United States,California,Los Angeles,90029,34.089953& -118.294824,34.089953,-118.294824,No,No phone service,DSL,No,Yes,No,No,No,No,No,Electronic check,Month-to-month,1,30.2,30.2,Yes,1,97,2915,Competitor had better devices
8773-HHUOZ,Female,No,No,No,1,United States,California,Los Angeles,90032,34.078821& -118.177576,34.078821,-118.177576,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,Mailed check,Month-to-month,17,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds
0023-XUOPT,Female,No,Yes,No,1,United States,California,Carnelian Bay,96140,39.227434& -120.091806,39.227434,-120.091806,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,No,Electronic check,Month-to-month,13,94.1,1215.6,Yes,1,75,2973,Don't know
0027-KWYKW,Female,No,Yes,Yes,1,United States,California,Alpaugh,93201,35.869626& -119.498771,35.869626,-119.498771,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,Month-to-month,23,83.75,1849.95,No,0,78,3585,
0058-EVZWM,Female,No,Yes,No,1,United States,California,Stockton,95209,38.044523& -121.348048,38.044523,-121.348048,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Yes,Bank transfer (automatic),Month-to-month,55,89.8,4959.6,No,0,42,5875,
0060-FUALY,Female,No,Yes,No,1,United States,California,Los Angeles,90003,33.964131& -118.272783,33.964131,-118.272783,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Electronic check,Month-to-month,59,94.75,5597.65,No,0,26,5238,
0064-YIJGF,Male,No,Yes,Yes,1,United States,California,Yermo,92398,35.013299& -116.834092,35.013299,-116.834092,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Bank transfer (automatic),Month-to-month,27,75.75,1929.0,No,0,46,4994,
0082-OQIQY,Male,No,No,No,1,United States,California,Farmington,95230,37.956963& -120.863055,37.956963,-120.863055,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Electronic check,Month-to-month,29,94.2,2607.6,No,0,60,4561,
0089-IIQKO,Female,No,Yes,Yes,1,United States,California,Coleville,96107,38.42528& -119.475741,38.42528,-119.475741,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),Month-to-month,39,99.95,3767.4,No,0,43,4447,
