customer_id,gender,senior_citizen,partner,dependents,count,country,state,city,zip_code,lat_long,latitude,longitude,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,contract,tenure_months,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason
7377-XFFK,Female,No,Yes,No,1,United States,California,Courtneyshire,81958,"-88.7514685, 18.605469",-7.921774,82.912127,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Yes,Mailed check,One year,32,62.46,1998.72,Yes,1,99,2538,Competitor made better offer
7677-WUJW,Female,No,No,No,1,United States,California,Johnsonmouth,97447,"9.0492485, 107.561280",-24.696246,167.570878,No,No,No,Yes,Yes,No internet service,Yes,Yes,Yes,No,Mailed check,Month-to-month,69,57.1,3939.9,Yes,1,1,5209,
4491-RTME,Female,Yes,Yes,No,1,United States,California,Port Erin,77036,"-30.035952, -46.295417",-39.270153,-42.457567,No,No,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,Yes,Mailed check,Month-to-month,27,103.57,2796.39,Yes,1,11,4722,Price too high
9131-APPV,Female,No,Yes,No,1,United States,California,Lake Frank,02711,"27.525634, -76.333167",-29.8065825,-128.068453,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,No,Credit card,Month-to-month,55,29.85,1641.75,Yes,1,61,2932,Competitor made better offer
5420-RWZG,Female,No,No,Yes,1,United States,California,East Justin,66561,"22.416584, 138.092446",59.1848885,-61.786983,No,No phone service,DSL,No,No internet service,No internet service,No,Yes,Yes,Yes,Bank transfer,Month-to-month,52,79.91,4155.32,Yes,1,58,3511,Competitor made better offer
2184-SJXT,Female,No,No,Yes,1,United States,California,Meyersview,77876,"-18.799038, -170.222313",1.1096235,-98.553903,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,No,Credit card,Two year,69,35.56,2453.64,No,0,100,3421,
7285-JIKA,Male,No,No,Yes,1,United States,California,Adambury,84365,"-23.535499, 118.362913",-2.2246905,-92.714688,Yes,No phone service,No,No internet service,Yes,Yes,No,Yes,No internet service,No,Electronic check,One year,71,23.43,1663.53,No,0,34,2510,
7702-MJOC,Female,No,No,Yes,1,United States,California,Port James,86671,"-6.154563, 60.398025",-7.8653555,25.598771,No,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Yes,Credit card,One year,44,49.4,2173.6,Yes,1,2,7917,Price too high
8040-WEVD,Male,No,No,No,1,United States,California,Andrewburgh,67418,"-42.993186, -37.761105",67.1094225,-132.238776,No,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,No,Mailed check,One year,8,78.39,627.12,No,0,96,3852,
3065-OSHW,Female,Yes,Yes,No,1,United States,California,Reyesside,51638,"51.5736265, 130.728751",-8.6622395,-39.294475,No,No,Fiber optic,Yes,No internet service,No,No internet service,No,No,No,Mailed check,One year,56,33.03,1849.68,No,0,15,2431,
8332-ICUW,Female,No,Yes,Yes,1,United States,California,Hernandezview,62199,"-7.2979385, -15.392716",67.999623,-26.850496,Yes,Yes,No,No,Yes,No internet service,No,No,Yes,No,Bank transfer,One year,28,23.28,651.84,No,0,62,3216,
6943-NPTH,Male,Yes,Yes,No,1,United States,California,Port Yolanda,46614,"-53.893483, 94.346095",8.214176,39.466661,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,Yes,Bank transfer,Month-to-month,49,100.06,4902.94,No,0,50,7802,
2168-HEIU,Male,No,Yes,No,1,United States,California,Moraleston,02493,"-30.3347245, -95.545841",50.209684,-37.375271,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No,Yes,Mailed check,One year,10,49.05,490.5,Yes,1,59,6085,
5089-MCPK,Male,Yes,Yes,Yes,1,United States,California,Mathisshire,13610,"-75.280172, -33.649016",60.2477215,-13.165755,Yes,No phone service,No,Yes,Yes,No,Yes,Yes,No,No,Mailed check,One year,52,57.37,2983.24,Yes,1,96,3061,Moved
